id,scientificName,names_wo_author
583156,Musa uranoscopos Lour.,Musa uranoscopos
583197,Tibouchina rosanae P. J. F. Guim. & Woodgyer,Tibouchina rosanae
583202,Asplundia guianensis Harling,Asplundia guianensis
583210,"Tibouchina albescens Cogn. ex P. J. F. Guimarães, A. L. F. Oliveira & R. Romero",Tibouchina albescens
583263,Geranium jinchuanense Z.M. Tan,Geranium jinchuanense
583280,Manihot cezari M. Martins,Manihot cezari
583291,Ixidium schottii Eichler,Ixidium schottii
583293,Austroamericium brasiliense (A. DC.) Hendrych,Austroamericium brasiliense
583294,Austroamericium aphyllum (Mart. ex DC.) Hendrych,Austroamericium aphyllum
583295,Krameria ovata O.Berg,Krameria ovata
583296,Jacquemontia aequisepala M. Pastore & Sim.-Bianch.,Jacquemontia aequisepala
583297,Mucuna umbellata Salzm. ex Benth.,Mucuna umbellata
583298,Jacquemontia frankeana (Schltdl.) M. Pastore & Sim-Bianch.,Jacquemontia frankeana
583299,Jacquemontia glabrescens (Meisn.) M. Pastore & Sim.-Bianch.,Jacquemontia glabrescens
583322,Manihot glauca M. Mend. & T.B. Cavalc.,Manihot glauca
583323,Manihot inflexa M. Mend. & T.B. Cavalc.,Manihot inflexa
583326,Manihot robusta M. Mend. & T.B. Cavalc.,Manihot robusta
583328,Manihot appanii M. J. Silva,Manihot appanii
583329,Manihot confertiflora M. J. Silva,Manihot confertiflora
583330,Manihot luxurians M. J. Silva,Manihot luxurians
583452,Lepidaploa scintillans Dematt. & D. Marq.,Lepidaploa scintillans
583460,Peperomia sulbahiensis D. Monteiro & M. Coelho,Peperomia sulbahiensis
583461,Operculina pteripes (G.Don) O'Donell,Operculina pteripes
593819,Gesnouinia boehmerioides Miq.,Gesnouinia boehmerioides
593823,Combretum superbum Pittier,Combretum superbum
593944,Microlicia selaginea Naudin,Microlicia selaginea
594037,Eranthemum riedelianum Nees,Eranthemum riedelianum
594048,Vaccinium subcrenulatum Klotzsch ex Meissner,Vaccinium subcrenulatum
594207,Trichilia sebastianopolitana C.DC.,Trichilia sebastianopolitana
594234,Strychnos martii Prog.,Strychnos martii
594353,Microlicia reichardtiana Cogn.,Microlicia reichardtiana
594374,Artanthe lentaginoides (Kunth) Miq.,Artanthe lentaginoides
594376,Paepalanthus funckeanus Koernicke,Paepalanthus funckeanus
594377,Celtis orthocantha Planch,Celtis orthocantha
594380,Anthodiscus trifoliatus G. Mey.,Anthodiscus trifoliatus
594381,Tristicha dregeana Tul.,Tristicha dregeana
594383,Celtis spinosissima (Weed.) Miq.,Celtis spinosissima
594385,Ficus microcarpa L.f.,Ficus microcarpa
594606,Bauhinia elongipes Cowan,Bauhinia elongipes
594612,Urostigma clusiaefolium (Schott) Miquel,Urostigma clusiaefolium
594614,Cabralea silvatica C.DC.,Cabralea silvatica
594616,Peperomia trichoclada C.DC.,Peperomia trichoclada
594619,Artanthe clausseniana Miq.,Artanthe clausseniana
